Symbol,現價,DPI,5D_DPI,Edge,防禦價,位階,戰術,板塊
AAP,57.87,76.48,67.03,-68.05,53.0,牛勢,⏳ 觀望,消費
AAPX,27.89,67.24,0.0,-46.24,28.0,牛勢,⏳ 觀望,指數基金
AARD,5.35,60.92,62.58,-122.43,5.0,牛勢,⏳ 觀望,醫療
AAT,21.19,69.62,62.01,-23.4,22.5,牛勢,⏳ 觀望,房地產
AAXJ,106.52,74.91,70.43,-18.54,106.0,逆轉,⏳ 觀望,指數基金
ABCB,85.17,62.02,71.66,-24.49,100.0,逆轉,⏳ 觀望,金融
ABCL,4.18,68.88,62.41,-72.71,3.0,牛勢,⏳ 觀望,醫療
ABEO,5.35,61.35,64.39,-55.8,4.0,牛勢,⏳ 觀望,醫療
ABEV,2.89,54.61,64.47,-26.2,2.0,反彈,⏳ 觀望,Consumer Defensive
ABM,40.13,62.65,69.13,-28.09,35.0,逆轉,⏳ 觀望,工業
ACA,120.41,61.11,71.15,-34.43,90.0,牛勢,⏳ 觀望,工業
ACES,35.42,66.0,46.19,-31.99,30.0,逆轉,⏳ 觀望,指數基金
ACI,16.58,60.34,43.82,-27.71,15.0,反彈,⏳ 觀望,Consumer Defensive
ACIO,44.76,30.56,62.81,-8.59,44.0,反彈,⏳ 觀望,指數基金
ACIW,43.39,74.08,76.28,-32.84,40.0,逆轉,⏳ 觀望,科技
ACM,81.99,71.92,59.31,-29.37,80.0,止跌回升,⏳ 觀望,工業
ACNT,14.09,74.97,0.0,-35.18,15.0,牛勢,⏳ 觀望,Basic Materials
ACRS,4.58,62.98,49.51,-85.7,4.0,牛勢,⏳ 觀望,醫療
ACT,43.85,60.81,0.0,-21.65,30.0,逆轉,⏳ 觀望,金融
ACWV,121.16,59.67,76.27,-7.97,110.0,止跌回升,⏳ 觀望,指數基金
AD,48.06,77.96,0.0,-29.96,26.75,反彈,⏳ 觀望,通訊
ADAM,8.06,73.31,62.11,-29.52,2.5,逆轉,⏳ 觀望,房地產
ADNT,21.63,67.37,48.38,-47.35,17.5,逆轉,⏳ 觀望,消費
ADT,7.22,56.26,61.67,-26.05,7.0,逆轉,⏳ 觀望,工業
ADUR,12.36,57.0,61.93,-85.27,10.0,牛勢,⏳ 觀望,工業
AEG,8.04,68.03,56.22,-24.79,5.0,牛勢,⏳ 觀望,金融
AEP,135.07,65.7,57.85,-17.19,120.0,逆轉,⏳ 觀望,公用事業
AETH,34.09,97.12,0.0,-50.33,36.0,止跌回升,⏳ 觀望,指數基金
AFK,27.1,26.21,74.78,-24.37,25.0,逆轉,⏳ 觀望,指數基金
AFL,114.69,61.59,60.82,-17.01,90.0,反彈,⏳ 觀望,金融
AGM,175.44,70.84,0.0,-32.06,175.0,牛勢,⏳ 觀望,金融
AGO,83.0,65.15,68.58,-18.2,105.0,反彈,⏳ 觀望,金融
AGX,660.87,64.33,58.65,-69.56,480.0,牛勢,⏳ 觀望,工業
