,,Ticker Information,Ticker Information,Ticker Information,Ticker Information,Ticker Information,Ticker Information,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,SpotGamma Key Daily Levels,Directional Indicators,Directional Indicators,Directional Indicators,Directional Indicators,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Volatility Insights,Dark Pool Indicators,Dark Pool Indicators,Dark Pool Indicators,Dark Pool Indicators
isWatchlisted,Symbol,Current Price,Previous Close,Stock Volume,52 Week High,52 Week Low,Earnings Date,Key Gamma Strike,Key Delta Strike,Hedge Wall,Call Wall,Put Wall,Options Impact,Call Gamma,Put Gamma,Next Exp Gamma,Next Exp Delta,Top Gamma Exp,Top Delta Exp,Call Volume,Put Volume,Next Exp Call Vol,Next Exp Put Vol,Put/Call OI Ratio,Volume Ratio,Gamma Ratio,Delta Ratio,NE Skew,Skew,1 M RV,1 M IV,IV Rank,Garch Rank,Skew Rank,Options Implied Move,DPI,% DPI Volume,5 day DPI,5d % DPI Volume
,A,116,115.54,504809,160.27,103.16,,120,150,60,125,110,11.902911070830948,'-2030137,'-1340274,0.3578,0.5583,2026-05-16,2026-09-19,3089,82,0.8096,0.2561,0.5316,0.0265,1.5147,'-1.0336,'-0.0390462,'-0.04187555,0.3101,0.3391,0.5679,0.0871,0.7028,2.4729921101,45.49,0.5064,0.5449599999999999,0.49781999999999993
,AA,67.4,65.99,950605,75.7,23.6,,70,40,60,75,60,38.999840738319755,'-14984784,'-8120829,0.2074,0.0089,2026-06-19,2026-06-19,6101,4396,0.2744,0.2605,0.8145,0.7205,1.8452,'-3.8715,'-0.05045872,'-0.01903419,0.5679,0.5674,0.4335,0.2951,0.464,2.3633608534,54.790000000000006,0.4417,0.57686,0.4520799999999999
,AAAU,46.16,46.52,150649,54.71,31.27,,50,41,36,50,47,,'-1012502,'-147945,0.3204,0.0961,2026-06-19,2026-06-19,24,19,0.4583,0.6842,0.0946,0.7917,6.8438,'-7.2679,0.21459982,0.15414341,0.2884,0.2329,0.3291,0.1544,0.8016,0.6838671969,42.14,0.16,0.55152,0.18958
,AAL,11.71,12.1,19391038,16.5,9.21,,12,15,12,15,10,23.90091976148644,'-127008958,'-155273674,0.1346,0.982,2026-06-19,2026-06-19,39737,28420,0.3705,0.3302,1.6192,0.7152,0.818,'-0.9805,'-0.04264392,'-0.05250784,0.5316,0.5104,0.4582,0.2298,0.22,0.3898150603,34.83,0.5297,0.457,0.51566
,AAOI,146.11,162.18,6367390,173.41,11.54,05-08 4:10 AM,170,100,2,200,130,14.915739134531089,'-6208526,'-3277315,0.4485,0.0637,2026-05-02,2026-06-19,30364,15320,0.5771,0.5644,0.8074,0.5045,1.8944,'-8.5703,'-0.01013605,0.00056169,1.4513,1.6023,0.9848,0.5129,0.4498,16.4022605567,40.29,0.4835,0.4447,0.5013400000000001
,AAON,91.65,99.54,379038,116.04,62,05-07 7:00 PM,95,95,45,95,80,10.28684391197808,'-274374,'-45957,0.5728,0.4909,2026-05-16,2026-05-16,19,17,0.0526,0.7059,0.2907,0.8947,5.9702,'-9.3489,'-0.16347874,'-0.14792984,0.5031,0.6956,0.7894,0.0574,0.1626,4.3703859118,36.480000000000004,0.5486,0.53316,0.52432
,AAOX,46.55,58.37,1639891,68.88,15.45,,60,45,13,90,25,,'-46981,'-140646,0.9344,0.0864,2026-05-16,2026-09-19,460,3390,0.8217,0.9962,6.5218,7.3696,0.334,'-1.4445,'-0.98079701,,2.4254,0,1,1,1,0,28.139999999999997,14.0319,0.39144,15.090900000000001
,AAP,57.87,58.17,323940,70,30.84,,60,50,20,60,53,22.828874165213485,'-12181191,'-1434976,0.0636,0.0083,2026-06-19,2026-06-19,461,332,0.5922,0.4187,0.286,0.7202,8.4888,'-14.9133,0.01706688,'-0.08584615,0.3797,0.65,0.5615,0.0679,0.1446,2.3865745124,76.48,0.4627,0.6702800000000001,0.40528
,AAPB,29.52,30.56,46809,37.89,18.2,,30,30,17,30,28.59,,'-112427,'-4008,0.9114,0.9107,2026-05-16,2026-05-16,122,1,0.9918,1,0.0814,0.0082,28.0506,'-24.6456,0.13576566,0.09695988,0.502,0.5559,0.5552,0.2071,0.9197,1.072290854,49.04,0.266,,
,AAPD,13.25,13.07,1160814,18.72,12.4,,13,10,4,14,13,,'-27014,'-13475,0.8418,0.4418,2026-05-16,2026-05-16,0,2,,1,0.2072,,2.0047,'-5.5254,0.36541738,0.34513824,0.2599,0.3219,0.3662,0.215,0.9463,0.2655578489,24.64,0.4893,0.26095999999999997,0.42851999999999996
,AAPL,267.51,271.06,11283324,288.62,193.25,05-01 4:30 AM,270,280,267.5,280,250,37.63373627483572,'-716283300,'-387046890,0.0681,0.0052,2026-05-16,2026-06-19,394909,235206,0.3158,0.2925,0.7465,0.5956,1.8506,'-2.9692,'-0.00486224,'-0.07742639,0.2547,0.2751,0.5739,0.2144,0.384,4.7067225904,45.21,0.4069,0.4558,0.45668
,AAPU,30.84,31.68,890356,40.7,19.84,,31,27.83,17.83,27.83,25,,'-1381121,'-292789,0.3851,0.0797,2026-05-16,2027-01-16,361,124,0.8227,0.8468,0.1821,0.3435,4.7171,'-13.8485,0.04028111,0.03879084,0.5072,0.5723,0.6044,0.2084,0.976,1.1443832607,46.71,0.411,0.35278,0.39699999999999996
,AAPW,36.55,36.45,6159,44.65,33.02,,35,35,25,35,30,,'-3797,'-657,0.3458,0.0478,2026-09-19,2026-09-19,1,0,1,,0.4615,0,5.7793,'-2.5296,'-1.01781971,'-1.1641384,0.3629,0.5867,0.2939,0.2604,0.249,1.3498210566,56.489999999999995,97.7619,,
,AAPX,27.89,28.73,16986,35.2,17.12,,29.8,25,14,25,28,,'-33411,'-6980,0.5194,0.528,2026-05-16,2026-05-16,79,0,0.9494,,0.1859,0,4.7867,'-10.4494,0.12046291,0.06265664,0.5181,0.5586,0.3519,0.2002,0.8631,1.0129759515,67.24,8.1939,,
,AAPY,23.62,23.38,3269,26.08,20.49,,23,22,18,23,17,,'-1395,0,0.7684,0.8561,2026-05-16,2026-05-16,0,0,,,0,,,,0.38067713,0.23144876,0.268,0.2264,0.2038,0.3099,0.9419,0.3341054093,44.72,0.451,,
,AARD,5.35,5.39,47362,17.94,3.35,,5,7.5,5,7.5,5,0,'-5114,'-28489,0.0738,0.0649,2026-08-22,2026-05-16,0,0,,,7.9545,,0.1795,'-0.2105,0.30931637,'-1.08634726,0.7775,2.0267,0.5789,0.6012,0.1111,0.6895103831,60.919999999999995,5.2467,0.6258,6.007300000000001
,AAT,21.19,20.9,70540,21.4,17.72,04-29 4:15 AM,20,20,5,20,22.5,1.5471555728180086,'-94387,'-4410,0.0016,0.001,2026-07-18,2026-07-18,0,0,,,0.0839,,21.4029,'-28.1578,'-0.38266538,'-0.32740308,0.1862,0.3766,0.2434,0.0167,0.1837,0.4968086852,69.62,0.4501,0.6201333333333333,0.43193333333333334
,AAXJ,106.52,109.09,55318,109.25,72.58,,106,110,60,110,106,,'-16448,'-6939,0.4465,0.206,2026-09-19,2026-09-19,0,2,,0,0.2381,,2.3704,'-13.0912,'-0.09458884,'-0.05924672,0.3029,0.2363,0.4075,0.5683,0.4777,1.6270887458,74.91,0.2256,0.7043,0.468125
,AB,38.07,38.82,106453,44.11,35.59,04-28 6:20 PM,40,40,22.5,40,30,0,'-2395118,'-911862,0.247,0.3217,2026-07-18,2026-07-18,171,36,0.0994,0.5,0.6873,0.2105,2.6266,'-2.2368,'-0.31257379,'-0.27487715,0.2252,0.3256,0.6262,0.009,0.3265,0.7978155652,39.7,0.7388,0.4804799999999999,0.6580000000000001
,ABAT,3.31,3.27,1310479,11.49,1.1,,3.5,5,1,4,2.5,24.762972468934773,'-3135647,'-911208,0.1,0.0281,2026-05-16,2027-01-16,803,269,0.0922,0.461,0.1841,0.335,3.4412,'-3.8782,'-0.23140496,0.07006143,0.7518,1.1233,0.1425,0.0775,0.5143,0.2318494603,56.24,0.6227,0.58222,0.6442
,ABBV,197.59,198.64,2512695,244.81,176.11,04-29 7:50 PM,200,165,210,230,200,20.42743617985924,'-23529985,'-34359148,0.14,0.0693,2026-05-16,2027-01-16,9780,5689,0.2019,0.2088,1.0698,0.5817,0.6848,'-0.6213,'-0.06986155,'-0.07633136,0.2494,0.338,0.8957,0.2961,0.488,4.2378539418,18.96,0.4622,0.26461999999999997,0.45514
,ABCB,85.17,84.87,449352,87.98,55.21,,85,85,40,85,100,1.7881898913802798,'-75614,'-3007,0.3349,0.2403,2026-07-18,2026-07-18,0,0,,,0.0693,,25.146,'-15.0798,'-0.62981476,'-0.54786585,0.2039,0.328,0.3781,0.0256,0.0408,1.7570763113,62.019999999999996,0.5504,0.7166,0.5409
,ABCL,4.18,4.16,5025901,6.52,1.94,05-12 4:05 AM,4,4,2,5,3,0,'-2412123,'-601070,0.3001,0.1062,2026-05-16,2028-01-22,2953,1690,0.1294,0.0201,0.2564,0.5723,4.013,'-8.114,0.00436567,0.00785316,0.4024,1.0951,0.5675,0.0678,0.3802,0.2875475604,68.88,0.543,0.6241399999999999,0.5098
,ABEO,5.35,5.41,429036,7.54,4,,5,3,2,5,4,0,'-1244816,'-604749,0.1425,0.0181,2026-06-19,2026-06-19,215,1408,0,0.0582,0.333,6.5488,2.0584,'-7.1582,'-0.29626816,'-0.19629487,0.4502,1.0418,0.2507,0.0339,0.2963,0.3557494161,61.35,0.4867,0.64388,0.51124
,ABEV,2.89,2.88,15360648,3.24,2.1,,3,2.5,1,3,2,0,'-4413014,'-1098344,0.0006,0.0007,2027-01-16,2027-01-16,68,33,0.0147,0,0.2588,0.4853,4.0179,'-8.6275,0.84739379,0.73927341,0.2863,0.6386,0.4515,0.4275,0.7529,0.1160871047,54.61,0.6059,0.6446600000000001,0.5973200000000001
