Symbol,Sector
AAPW,其他
AARD,醫療
AAT,房地產
AAXJ,其他
ABCL,醫療
ABEO,醫療
ABM,工業
ABNB,消費
ACGL,金融
ACIW,科技
ACM,工業
ACRS,醫療
ACWV,其他
AD,通訊
ADAM,房地產
ADBE,科技
ADEA,科技
ADM,防禦性消費
ADT,工業
AEG,金融
AEP,公用事業
AEYE,科技
AGCO,工業
AGM,金融
AGNC,房地產
AGNG,其他
AHR,房地產
AIFD,其他
AIRO,工業
AIVC,其他
ALAB,科技
ALDX,醫療
ALG,工業
ALGT,工業
ALL,金融
ALLE,工業
ALMS,醫療
AMAL,金融
AMH,房地產
AMLX,醫療
AMN,醫療
AMP,金融
AMPH,醫療
AMRX,醫療
AMRZ,原物料
AMWD,消費
AN,消費
ANET,科技
ANF,消費
ANGX,通訊
AON,金融
APG,工業
APGE,醫療
APLD,科技
APLZ,其他
APO,金融
AQST,醫療
AR,能源
ARCC,金融
AREC,原物料
ARGT,其他
ARHS,消費
ARKG,其他
ARMG,其他
AROC,能源
ARRY,科技
ARWR,醫療
ASAN,科技
ASIX,原物料
ASO,消費
ASRT,醫療
ASST,金融
ATEX,通訊
ATHM,通訊
ATO,公用事業
ATRO,工業
AVDE,其他
AVDV,其他
AVEM,其他
AVGE,其他
AVGV,其他
AVNM,其他
AVSC,其他
AVUS,其他
AVY,消費
AZO,消費
AZTA,醫療
BAC,金融
BAI,其他
BAIG,其他
BALT,其他
BAM,金融
BANR,金融
BAX,醫療
BBAR,金融
BBAX,其他
BBCA,其他
BBIN,其他
BBIO,醫療
BBP,其他
BBUS,其他
BBWI,消費
BBY,消費
BCAB,醫療
BCAX,醫療
BCI,其他
BCO,工業
BCSF,金融
BDC,科技
BEAM,醫療
BELFB,科技
BEN,金融
BEPC,公用事業
BETA,工業
BETR,金融
BFIX,其他
BHF,金融
BHVN,醫療
BIBL,其他
BIGY,其他
BIIB,醫療
BILI,通訊
BITU,其他
BK,金融
BKH,公用事業
BKLC,其他
BKU,金融
BLBD,工業
BLCN,其他
BLK,金融
BLLN,醫療
BLOK,其他
BLSH,科技
BLX,金融
BMBL,通訊
BMED,其他
BMI,科技
BMO,金融
BNL,房地產
BOOT,消費
BOTZ,其他
BOX,科技
BP,能源
BPOP,金融
BRKR,醫療
BSRR,金融
BTGO,金融
BTU,能源
BUCK,其他
BURL,消費
BVS,醫療
BWB,金融
BWIN,金融
BWMN,工業
BXMT,房地產
BZAI,科技
CAC,金融
CACC,金融
CAE,工業
CAH,醫療
CAI,醫療
CALX,科技
CAMT,科技
CAN,科技
CAPR,醫療
CAR,工業
CART,消費
CAT,工業
CBT,原物料
CBZ,工業
CCAP,金融
CCBG,金融
CCI,房地產
CCK,消費
CCNE,金融
CD,金融
CDL,其他
CDNA,醫療
CDNS,科技
CDP,房地產
CDW,科技
CE,原物料
CEG,公用事業
CEMB,其他
CEPI,其他
CFFN,金融
CFR,金融
CGAU,原物料
CGDV,其他
CHAT,其他
CHAU,其他
CHCO,金融
CHD,防禦性消費
CHDN,消費
CHEF,防禦性消費
